code,filter,name,meters_crs,ignore,timestamp
al,admin_level=2,Albania,EPSG:6870,True,0
ad,admin_level=2,Andorra,EPSG:2062,True,0
at,admin_level=2,Austria,EPSG:3416,True,0
by,admin_level=2,Belarus,EPSG:2525,True,0
be,admin_level=2,Belgium,EPSG:31300,True,1717302226
ba,admin_level=2,Bosnia and Herzegovina,EPSG:10329,True,0
bg,admin_level=2,Bulgaria,EPSG:9391,True,0
hr,admin_level=2,Croatia,EPSG:3766,True,0
cy,admin_level=2,Cyprus,EPSG:6312,True,0
cz,admin_level=2,Czechia,EPSG:2065,True,0
dk,admin_level=2,Denmark,EPSG:2196,True,0
ee,admin_level=2,Estonia,EPSG:3301,True,0
fo,admin_level=2,Faroe Islands,EPSG:5316,True,0
fi,admin_level=2,Finland,EPSG:3067,True,0
fr,admin_level=3,Metropolitan France,EPSG:2154,True,0
ge,admin_level=2,Georgia,EPSG:2498,True,0
de,admin_level=2,Germany,EPSG:5243,True,0
gr,admin_level=2,Greece,EPSG:2100,True,0
gg,admin_level=2,Guernsey,EPSG:3108,True,0
hu,admin_level=2,Hungary,EPSG:23700,True,0
is,admin_level=2,Iceland,EPSG:3053,True,0
ie,admin_level=2,Ireland,EPSG:2157,True,0
im,admin_level=2,Isle of Man,EPSG:27700,True,0
it,admin_level=2,Italy,EPSG:7794,True,0
je,admin_level=2,Jersey,EPSG:3109,True,0
xk,admin_level=2,Kosovo,EPSG:9141,True,0
lv,admin_level=2,Latvia,EPSG:3059,True,0
li,admin_level=2,Liechtenstein,EPSG:21781,False,1718257854
lt,admin_level=2,Lithuania,EPSG:3346,True,0
lu,admin_level=2,Luxembourg,EPSG:2169,True,1717302299
mk,admin_level=2,North Macedonia,EPSG:6204,True,0
mt,admin_level=2,Malta,EPSG:7794,True,0
md,admin_level=2,Moldova,EPSG:4026,True,0
mc,admin_level=2,Monaco,EPSG:7794,True,0
me,admin_level=2,Montenegro,EPSG:8678,True,0
nl,boundary=legal,European Netherlands,EPSG:28992,True,1717302686
no,admin_level=2,Norway,EPSG:27393,True,0
pl,admin_level=2,Poland,EPSG:2180,True,0
pt,admin_level=2,Portugal,EPSG:2963,True,0
ro,admin_level=2,Romania,EPSG:31600,True,0
rs,admin_level=2,Serbia,EPSG:8682,True,0
sk,admin_level=2,Slovakia,EPSG:8353,True,0
si,admin_level=2,Slovenia,EPSG:3912,True,0
es,admin_level=2,Spain,EPSG:2062,True,0
se,admin_level=2,Sweden,EPSG:3027,True,0
ch,admin_level=2,Switzerland,EPSG:2056,True,0
tr,admin_level=2,Turkey,EPSG:5636,True,0
ua,admin_level=2,Ukraine,EPSG:5564,True,0
uk,admin_level=2,United Kingdom,EPSG:27700,True,0
va,admin_level=2,Vatican City,EPSG:7794,True,0
